;area;room;bath;garage;price;ext_area;property;zone
284;90;3;2;1;6200;144;residential;midtown
285;90;0;1;0;600;35;commercial;midtown
286;89;1;1;1;1850;44;residential;continental
287;89;1;1;1;2100;47;residential;midtown
288;1000;6;7;0;66000;1000;residential;north
289;1000;2;3;4;8000;200;residential;south
290;200;6;6;0;75000;380;residential;north
291;200;0;1;1;1339;24;commercial;continental
292;380;1;1;0;650;40;residential;east
293;380;2;1;1;16500;54;residential;north
294;24;4;2;2;4500;189;residential;midtown
295;24;6;6;7;35000;900;residential;north
296;40;3;3;3;5300;160;residential;midtown
297;40;2;2;1;3426;677;residential;continental
298;54;2;1;1;2200;88;residential;continental
299;54;1;1;1;8400;50;residential;north
300;189;4;3;8;6900;331;residential;south
301;189;2;1;1;2000;70;residential;south
302;900;0;1;1;1507;25;commercial;continental
303;900;3;3;2;4500;126;residential;continental
304;160;1;1;1;12000;62;residential;north
305;160;3;4;2;6800;201;residential;midtown
306;677;3;3;2;3980;124;residential;midtown
307;677;2;1;1;1800;70;residential;midtown
308;88;0;1;1;1507;25;commercial;continental
309;88;3;4;2;42000;145;residential;north
310;50;0;0;0;962;10;commercial;midtown
311;50;2;1;2;15000;75;residential;north
312;331;2;2;1;14400;65;residential;north
313;331;0;2;0;3000;144;commercial;midtown
314;70;3;2;4;31800;100;residential;north
315;70;0;3;0;12000;154;commercial;midtown
316;25;1;1;1;13500;46;residential;north
317;25;1;1;0;1400;40;residential;south
318;126;3;3;3;35400;70;residential;north
319;126;3;1;1;1750;75;residential;midtown
320;62;2;2;1;5900;79;residential;midtown
321;62;2;1;1;21000;80;residential;north
322;201;0;1;1;1381;25;commercial;continental
323;201;2;1;1;2700;63;residential;midtown
324;63;2;1;1;2700;63;residential;midtown
325;63;0;1;1;780;28;commercial;midtown
326;28;3;5;3;16000;377;residential;midtown
327;28;7;4;1;12000;425;residential;continental
328;377;4;5;4;19000;350;residential;north
329;377;0;1;0;1500;59;commercial;midtown
330;425;0;1;1;1632;32;commercial;continental
331;425;2;2;1;2200;61;residential;midtown
332;350;4;4;1;6000;151;residential;north
333;350;2;2;5;7000;900;residential;east
334;59;0;1;0;500;20;commercial;midtown
335;59;3;1;1;1800;99;residential;midtown
336;32;0;2;0;5500;103;commercial;north
337;32;0;0;0;1300;45;commercial;midtown
338;61;2;2;1;2500;65;residential;south
339;61;2;2;1;2700;73;residential;midtown
340;151;2;2;2;9000;147;residential;north
341;151;1;1;1;7500;38;residential;north
342;900;7;6;0;81000;300;residential;north
343;900;4;3;2;5500;195;residential;midtown
344;20;0;2;0;14760;615;commercial;continental
345;20;0;1;0;800;26;commercial;midtown
346;99;0;1;1;900;36;commercial;midtown
347;99;0;0;0;1295;37;commercial;midtown
348;103;3;3;1;2150;114;residential;continental
349;103;3;1;1;1600;58;residential;continental
350;45;3;2;3;3300;160;residential;continental
351;45;0;1;1;1600;37;commercial;south
352;65;0;1;1;1639;32;commercial;continental
353;65;1;1;1;13500;70;residential;north
354;73;2;2;1;3700;107;residential;south
355;73;2;1;1;23400;72;residential;north
356;147;0;1;1;4565;70;commercial;continental
357;147;3;2;2;10500;135;residential;north
358;38;3;4;1;5500;172;residential;midtown
359;38;2;2;1;2800;71;residential;midtown
360;135;3;2;2;10500;135;residential;north
361;135;3;4;1;5500;172;residential;midtown
362;172;5;5;4;10900;200;residential;north
363;172;0;1;2;3200;81;commercial;midtown
364;200;3;2;3;2500;115;residential;midtown
365;200;3;5;0;54000;170;residential;north
366;81;4;4;2;7000;140;residential;midtown
367;81;3;2;1;2000;100;residential;continental
